isoform,combiner,config,mean_coef,std_coef,frac_folds_negative,frac_folds_over_1p5_abs
CYP1A2,nn_ridge,chemprop_chemeleoninit,0.43578006520647633,0.009291318065701338,0.0,0.0
CYP1A2,nn_ridge,chemprop_randominit,0.14924382064375039,0.005208089960414192,0.0,0.0
CYP1A2,nn_ridge,ecfp4_narrow__lightgbm,0.18111740576218247,0.010484259988295755,0.0,0.0
CYP1A2,nn_ridge,ecfp4_narrow__rf,0.0692423850447225,0.010566752237319975,0.0,0.0
CYP1A2,nn_ridge,ecfp4_narrow__xgboost,0.001382602234000169,0.003225233586991185,0.0,0.0
CYP1A2,nn_ridge,mordred_pca__lightgbm,0.011238784860115859,0.008315369886154323,0.0,0.0
CYP1A2,nn_ridge,mordred_pca__rf,0.00013919179058518905,0.0005711629725172541,0.0,0.0
CYP1A2,nn_ridge,mordred_pca__xgboost,0.0,0.0,0.0,0.0
CYP2C9,nn_ridge,chemeleon__lightgbm,0.0,0.0,0.0,0.0
CYP2C9,nn_ridge,chemeleon__rf,0.0,0.0,0.0,0.0
CYP2C9,nn_ridge,chemeleon__xgboost,0.0,0.0,0.0,0.0
CYP2C9,nn_ridge,chemprop_chemeleoninit,0.5268996659647793,0.007110710300187845,0.0,0.0
CYP2C9,nn_ridge,chemprop_randominit,0.18469194952431908,0.005867877800123415,0.0,0.0
CYP2C9,nn_ridge,ecfp4_narrow__lightgbm,0.09014322947497483,0.009807711583593648,0.0,0.0
CYP2C9,nn_ridge,ecfp4_narrow__rf,0.19875782237847184,0.008083008404919618,0.0,0.0
CYP2C9,nn_ridge,ecfp4_narrow__xgboost,0.0,0.0,0.0,0.0
CYP2C9,nn_ridge,mordred_pca__lightgbm,0.0,0.0,0.0,0.0
CYP2C9,nn_ridge,mordred_pca__rf,0.0,0.0,0.0,0.0
CYP2C9,nn_ridge,mordred_pca__xgboost,0.0,0.0,0.0,0.0
CYP2D6,nn_ridge,chemeleon__lightgbm,0.0,0.0,0.0,0.0
CYP2D6,nn_ridge,chemeleon__rf,0.3989764994194946,0.007205711882248718,0.0,0.0
CYP2D6,nn_ridge,chemeleon__xgboost,0.0,0.0,0.0,0.0
CYP2D6,nn_ridge,chemprop_chemeleoninit,0.2074073049123232,0.005848086959161834,0.0,0.0
CYP2D6,nn_ridge,chemprop_randominit,0.13605783395328008,0.005584826918637063,0.0,0.0
CYP2D6,nn_ridge,ecfp4_narrow__lightgbm,0.15538672597745384,0.007376680079718418,0.0,0.0
CYP2D6,nn_ridge,ecfp4_narrow__rf,0.10594156487064275,0.0068067507673932786,0.0,0.0
CYP2D6,nn_ridge,ecfp4_narrow__xgboost,0.0,0.0,0.0,0.0
CYP2D6,nn_ridge,mordred_pca__lightgbm,0.0,0.0,0.0,0.0
CYP2D6,nn_ridge,mordred_pca__rf,0.0,0.0,0.0,0.0
CYP2D6,nn_ridge,mordred_pca__xgboost,0.0,0.0,0.0,0.0
CYP3A4,nn_ridge,chemeleon__lightgbm,0.06362893827196983,0.003876872784800787,0.0,0.0
CYP3A4,nn_ridge,chemeleon__rf,0.0,0.0,0.0,0.0
CYP3A4,nn_ridge,chemeleon__xgboost,0.000739389208602187,0.0017716286171595881,0.0,0.0
CYP3A4,nn_ridge,chemprop_chemeleoninit,0.4466764917632748,0.007297708353051082,0.0,0.0
CYP3A4,nn_ridge,chemprop_randominit,0.11690656508725977,0.006050124376943223,0.0,0.0
CYP3A4,nn_ridge,ecfp4_narrow__lightgbm,0.2902839149473734,0.007891378050184599,0.0,0.0
CYP3A4,nn_ridge,ecfp4_narrow__rf,0.06687425439448426,0.00529997767089572,0.0,0.0
CYP3A4,nn_ridge,ecfp4_narrow__xgboost,0.01871568968821026,0.0076112741101054,0.0,0.0
CYP3A4,nn_ridge,mordred_pca__lightgbm,0.0,0.0,0.0,0.0
CYP3A4,nn_ridge,mordred_pca__rf,0.0,0.0,0.0,0.0
CYP3A4,nn_ridge,mordred_pca__xgboost,0.0,0.0,0.0,0.0
