isoform,combiner,repeat,fold,ST-RAE
CYP2C9,elastic_net,1,1,0.5937772758068077
CYP2C9,elastic_net,1,2,0.500709089346856
CYP2C9,elastic_net,1,3,0.6109635122702216
CYP2C9,elastic_net,1,4,0.6368528901808337
CYP2C9,elastic_net,2,0,0.6881136043420859
CYP2C9,elastic_net,2,1,0.5891073970409244
CYP2C9,elastic_net,2,2,0.6345058118345606
CYP2C9,elastic_net,2,3,0.6616808645682491
CYP2C9,elastic_net,2,4,0.6357275131761211
CYP2C9,elastic_net,3,0,0.5875332690087407
CYP2C9,elastic_net,3,1,0.5743234009689446
CYP2C9,elastic_net,3,2,0.7395015352479234
CYP2C9,elastic_net,3,3,0.6331219187783805
CYP2C9,elastic_net,3,4,0.5814960371933825
CYP2C9,elastic_net,4,0,0.6006807592409815
CYP2C9,elastic_net,4,1,0.5179904634772748
CYP2C9,elastic_net,4,2,0.739351006660977
CYP2C9,elastic_net,4,3,0.6415976745897127
CYP2C9,elastic_net,4,4,0.6948845902430795
CYP2C9,nnls,0,0,0.6526687657689165
CYP2C9,nnls,0,1,0.5420037357757641
CYP2C9,nnls,0,2,0.6801156400341853
CYP2C9,nnls,0,3,0.5599555803816065
CYP2C9,nnls,0,4,0.6405244927394355
CYP2C9,nnls,1,0,0.5863892550649913
CYP2C9,nnls,1,1,0.5911362672669789
CYP2C9,nnls,1,2,0.5001130806547898
CYP2C9,nnls,1,3,0.6117182415119764
CYP2C9,nnls,1,4,0.626082678647689
CYP2C9,nnls,2,0,0.6810107948420788
CYP2C9,nnls,2,1,0.5892848997661986
CYP2C9,nnls,2,2,0.6304324419202033
CYP2C9,nnls,2,3,0.6574007465123485
CYP2C9,nnls,2,4,0.6341556796538874
CYP2C9,nnls,3,0,0.5924653000597978
CYP2C9,nnls,3,1,0.5725708569346027
CYP2C9,nnls,3,2,0.720212783756587
CYP2C9,nnls,3,3,0.6265313070790437
CYP2C9,nnls,3,4,0.5800462465552946
CYP2C9,nnls,4,0,0.6011868645236763
CYP2C9,nnls,4,1,0.5166716793994159
CYP2C9,nnls,4,2,0.7146622338735412
CYP2C9,nnls,4,3,0.6430769806205002
CYP2C9,nnls,4,4,0.6918280640265871
CYP2C9,nn_ridge,0,0,0.6527445021090471
CYP2C9,nn_ridge,0,1,0.5422499986054709
CYP2C9,nn_ridge,0,2,0.6800909899711878
CYP2C9,nn_ridge,0,3,0.5599182739636945
CYP2C9,nn_ridge,0,4,0.6410053223752284
CYP2C9,nn_ridge,1,0,0.5842178411831424
CYP2C9,nn_ridge,1,1,0.5906388787249894
CYP2C9,nn_ridge,1,2,0.5003066267300205
CYP2C9,nn_ridge,1,3,0.6129722689198659
CYP2C9,nn_ridge,1,4,0.6255406302119851
CYP2C9,nn_ridge,2,0,0.6801304748084497
CYP2C9,nn_ridge,2,1,0.5881923977101651
CYP2C9,nn_ridge,2,2,0.6319449581453045
CYP2C9,nn_ridge,2,3,0.6563941538255964
CYP2C9,nn_ridge,2,4,0.6338387895622297
CYP2C9,nn_ridge,3,0,0.5923268402156262
CYP2C9,nn_ridge,3,1,0.5713464336649987
CYP2C9,nn_ridge,3,2,0.7192143651372561
CYP2C9,nn_ridge,3,3,0.6263518318310949
CYP2C9,nn_ridge,3,4,0.5792807560598012
CYP2C9,nn_ridge,4,0,0.6013578838118533
CYP2C9,nn_ridge,4,1,0.5167649603500941
CYP2C9,nn_ridge,4,2,0.712777442208797
CYP2C9,nn_ridge,4,3,0.6429968808945674
CYP2C9,nn_ridge,4,4,0.6910786021115626
CYP2D6,simple_average,0,0,0.8776231292587048
CYP2D6,simple_average,0,1,0.9131367120420509
CYP2D6,simple_average,0,2,0.8792556228848989
CYP2D6,simple_average,0,3,0.8925802937320467
CYP2D6,simple_average,0,4,0.8657660271173385
CYP2D6,simple_average,1,0,0.8953039775154206
CYP2D6,simple_average,1,1,0.8849453319644254
CYP2D6,simple_average,1,2,0.8820486831154885
CYP2D6,simple_average,1,3,0.8783704553390977
CYP2D6,simple_average,1,4,0.924164309900888
CYP2D6,simple_average,2,0,0.9129637915862965
CYP2D6,simple_average,2,1,0.8883201336697533
CYP2D6,simple_average,2,2,0.8850782070801014
CYP2D6,simple_average,2,3,0.8926441920291824
CYP2D6,simple_average,2,4,0.914988114965305
CYP2D6,simple_average,3,0,0.9131902257456289
CYP2D6,simple_average,3,1,0.9143538817714155
CYP2D6,simple_average,3,2,0.8838080760342737
CYP2D6,simple_average,3,3,0.8831747169419542
CYP2D6,simple_average,3,4,0.8711937223414412
CYP2D6,simple_average,4,0,0.893228800512761
CYP2D6,simple_average,4,1,0.8833625895671354
CYP2D6,simple_average,4,2,0.8996299793151727
CYP2D6,simple_average,4,3,0.8434985662083793
CYP2D6,simple_average,4,4,0.9288189068424703
CYP2D6,ridge,0,0,0.8864663561880264
CYP2D6,ridge,0,1,0.921725171471829
CYP2D6,ridge,0,2,0.8869121011471575
CYP2D6,ridge,0,3,0.9143780260397991
CYP2D6,ridge,0,4,0.878074846056789
CYP2D6,ridge,1,0,0.8758563407742094
CYP2D6,ridge,1,1,0.9145914725527342
CYP2D6,ridge,1,2,0.9042022348522203
CYP2D6,ridge,1,3,0.8828911413074446
CYP2D6,ridge,1,4,0.973924466401402
CYP2D6,ridge,2,0,0.9442870051559182
CYP2D6,ridge,2,1,0.8791169071239434
CYP2D6,ridge,2,2,0.8731943259368398
CYP2D6,ridge,2,3,0.9199060709758641
CYP2D6,ridge,2,4,0.9429647242485062
CYP2D6,ridge,3,0,0.9357999205723664
CYP2D6,ridge,3,1,0.9293882981285431
CYP2D6,ridge,3,2,0.8889138232081241
CYP2D6,ridge,3,3,0.9261816569090741
CYP2D6,ridge,3,4,0.8395983284978553
CYP2D6,ridge,4,0,0.899664950544576
CYP2D6,ridge,4,1,0.8973936468339405
CYP2D6,ridge,4,2,0.8932297289349506
CYP2D6,ridge,4,3,0.8695621774716316
CYP2D6,ridge,4,4,0.9375138785163222
CYP2D6,elastic_net,0,0,0.8842725904787015
CYP2D6,elastic_net,0,1,0.9197996578474271
CYP2D6,elastic_net,0,2,0.8776288822446682
CYP2D6,elastic_net,0,3,0.9112986107250931
CYP2D6,elastic_net,0,4,0.8776487900571588
CYP2D6,elastic_net,1,0,0.8756851005730308
CYP2D6,elastic_net,1,1,0.9080041164527461
CYP2D6,elastic_net,1,2,0.9070747428019356
CYP2D6,elastic_net,1,3,0.879841525908886
CYP2D6,elastic_net,1,4,0.9717659942532973
CYP2D6,elastic_net,2,0,0.9404983872439004
CYP2D6,elastic_net,2,1,0.8800669496841338
CYP2D6,elastic_net,2,2,0.8736430532328648
CYP2D6,elastic_net,2,3,0.9192315093729627
CYP2D6,elastic_net,2,4,0.9409111168590718
CYP2D6,elastic_net,3,0,0.9330201742834149
CYP2D6,elastic_net,3,1,0.9289358218620948
CYP2D6,elastic_net,3,2,0.8890733678374443
CYP2D6,elastic_net,3,3,0.9202800919452803
CYP2D6,elastic_net,3,4,0.839501890715748
CYP2D6,elastic_net,4,0,0.8971420427748292
CYP2D6,elastic_net,4,1,0.8943413134798867
CYP2D6,elastic_net,4,2,0.8923313418095231
CYP2D6,elastic_net,4,3,0.869466307373402
CYP2D6,elastic_net,4,4,0.9359771557450554
CYP2D6,nnls,0,0,0.8776765832052663
CYP2D6,nnls,0,1,0.9128830196844152
CYP2D6,nnls,0,2,0.8610297201493124
CYP2D6,nnls,0,3,0.8951572155867987
CYP2D6,nnls,0,4,0.8696675488026646
CYP2D6,nnls,1,0,0.8781133572521294
CYP2D6,nnls,1,1,0.8858280022472033
CYP2D6,nnls,1,2,0.8998304209159794
