isoform,combiner,repeat,fold,config,coefficient
CYP1A2,nn_ridge,1,0,chemprop_randominit,0.14899588071827205
CYP1A2,nn_ridge,1,0,ecfp4_narrow__lightgbm,0.18375384459687366
CYP1A2,nn_ridge,1,0,ecfp4_narrow__rf,0.07093384329525484
CYP1A2,nn_ridge,1,0,ecfp4_narrow__xgboost,0.0
CYP1A2,nn_ridge,1,0,mordred_pca__lightgbm,0.014878473276307402
CYP1A2,nn_ridge,1,0,mordred_pca__rf,0.0
CYP1A2,nn_ridge,1,0,mordred_pca__xgboost,0.0
CYP1A2,ridge,1,1,chemeleon__lightgbm,-0.005860399963697877
CYP1A2,ridge,1,1,chemeleon__rf,0.1791435965282121
CYP1A2,ridge,1,1,chemeleon__xgboost,-0.00023129495456068687
CYP1A2,ridge,1,1,chemprop_chemeleoninit,0.37967879222749545
CYP1A2,ridge,1,1,chemprop_randominit,0.14528370628924572
CYP1A2,ridge,1,1,ecfp4_narrow__lightgbm,0.16820913945458718
CYP1A2,ridge,1,1,ecfp4_narrow__rf,0.1142450870595177
CYP1A2,ridge,1,1,ecfp4_narrow__xgboost,0.04894816013890773
CYP1A2,ridge,1,1,mordred_pca__lightgbm,0.10146175966475009
CYP1A2,ridge,1,1,mordred_pca__rf,0.05979061492490636
CYP1A2,ridge,1,1,mordred_pca__xgboost,-0.00510835123236066
CYP1A2,ridge,1,1,__intercept__,-0.9312127548243359
CYP1A2,elastic_net,1,1,chemeleon__lightgbm,0.0
CYP1A2,elastic_net,1,1,chemeleon__rf,0.17450715128457292
CYP1A2,elastic_net,1,1,chemeleon__xgboost,0.0
CYP1A2,elastic_net,1,1,chemprop_chemeleoninit,0.3964394127415034
CYP1A2,elastic_net,1,1,chemprop_randominit,0.14128282186994987
CYP1A2,elastic_net,1,1,ecfp4_narrow__lightgbm,0.17314019452365623
CYP1A2,elastic_net,1,1,ecfp4_narrow__rf,0.10701733741118945
CYP1A2,elastic_net,1,1,ecfp4_narrow__xgboost,0.03576472162810511
CYP1A2,elastic_net,1,1,mordred_pca__lightgbm,0.0888126683246281
CYP1A2,elastic_net,1,1,mordred_pca__rf,0.040619830280050756
CYP1A2,elastic_net,1,1,mordred_pca__xgboost,0.0
CYP1A2,elastic_net,1,1,__intercept__,-0.7930220436565456
CYP1A2,nnls,1,1,chemeleon__lightgbm,0.0
CYP1A2,nnls,1,1,chemeleon__rf,0.14530773760522575
CYP1A2,nnls,1,1,chemeleon__xgboost,0.0
CYP1A2,nnls,1,1,chemprop_chemeleoninit,0.44383463080668406
CYP1A2,nnls,1,1,chemprop_randominit,0.141977113566278
CYP1A2,nnls,1,1,ecfp4_narrow__lightgbm,0.1763762692602352
CYP1A2,nnls,1,1,ecfp4_narrow__rf,0.0772392432776646
CYP1A2,nnls,1,1,ecfp4_narrow__xgboost,0.0
CYP1A2,nnls,1,1,mordred_pca__lightgbm,0.013177358595788558
CYP1A2,nnls,1,1,mordred_pca__rf,0.0
CYP1A2,nnls,1,1,mordred_pca__xgboost,0.0
CYP1A2,nn_ridge,1,1,chemeleon__lightgbm,0.0
CYP1A2,nn_ridge,1,1,chemeleon__rf,0.14406215493957633
CYP1A2,nn_ridge,1,1,chemeleon__xgboost,0.0
CYP1A2,nn_ridge,1,1,chemprop_chemeleoninit,0.4338261993475352
CYP1A2,nn_ridge,1,1,chemprop_randominit,0.14591082752926185
CYP1A2,nn_ridge,1,1,ecfp4_narrow__lightgbm,0.17142292710029985
CYP1A2,nn_ridge,1,1,ecfp4_narrow__rf,0.0844113602589238
CYP1A2,nn_ridge,1,1,ecfp4_narrow__xgboost,0.00013321548304346125
CYP1A2,nn_ridge,1,1,mordred_pca__lightgbm,0.018110304764526502
CYP1A2,nn_ridge,1,1,mordred_pca__rf,0.0
CYP1A2,nn_ridge,1,1,mordred_pca__xgboost,0.0
CYP1A2,ridge,1,2,chemeleon__lightgbm,0.031326072135718724
CYP1A2,ridge,1,2,chemeleon__rf,0.1641363662277145
CYP1A2,ridge,1,2,chemeleon__xgboost,-0.010156912633145476
CYP1A2,ridge,1,2,chemprop_chemeleoninit,0.38422393292786305
CYP1A2,ridge,1,2,chemprop_randominit,0.14622967748424082
CYP1A2,ridge,1,2,ecfp4_narrow__lightgbm,0.17604855064732403
CYP1A2,ridge,1,2,ecfp4_narrow__rf,0.09554381424540818
CYP1A2,ridge,1,2,ecfp4_narrow__xgboost,0.046869155261634925
CYP1A2,ridge,1,2,mordred_pca__lightgbm,0.10294143264927147
CYP1A2,ridge,1,2,mordred_pca__rf,0.04612056769117808
CYP1A2,ridge,1,2,mordred_pca__xgboost,0.0012271374529072654
CYP1A2,ridge,1,2,__intercept__,-0.9131769218659835
CYP1A2,elastic_net,1,2,chemeleon__lightgbm,0.02798863511072366
CYP1A2,elastic_net,1,2,chemeleon__rf,0.15672131496427943
CYP1A2,elastic_net,1,2,chemeleon__xgboost,0.0
CYP1A2,elastic_net,1,2,chemprop_chemeleoninit,0.3850645786042529
