isoform,offset,strae,r2
CYP1A2,-0.56,1.2726105035707973,-0.058359274753637225
CYP1A2,-0.55,1.2606301216152602,-0.047989379143489996
CYP1A2,-0.54,1.2487891923057242,-0.037807961999817064
CYP1A2,-0.53,1.2370619756663201,-0.027815023322618204
CYP1A2,-0.52,1.2254535063165315,-0.018010563111892752
CYP1A2,-0.51,1.213971083623254,-0.008394581367641374
CYP1A2,-0.5,1.2026218276282203,0.00103292191013582
CYP1A2,-0.49,1.1913900362277554,0.010271946721438718
CYP1A2,-0.48,1.1803001310710608,0.01932249306626832
CYP1A2,-0.47,1.1693522602029738,0.02818456094462385
CYP1A2,-0.46,1.1585470760149468,0.03685815035650497
CYP1A2,-0.45,1.147874007903906,0.04534326130191224
CYP1A2,-0.44,1.1373584912551735,0.05363989378084566
CYP1A2,-0.43,1.1270105587683772,0.06174804779330545
CYP1A2,-0.42,1.1168390534822132,0.06966772333929083
CYP1A2,-0.41,1.1068424352549042,0.07739892041880225
CYP1A2,-0.4,1.0970200063522135,0.08494163903183971
CYP1A2,-0.39,1.087365966341409,0.09229587917840365
CYP1A2,-0.38,1.0778779523260364,0.0994616408584933
CYP1A2,-0.37,1.0685779102998245,0.10643892407210875
CYP1A2,-0.36,1.059452529886476,0.11322772881925036
CYP1A2,-0.35,1.0505089016196132,0.11982805509991845
CYP1A2,-0.34,1.0417298652655826,0.12623990291411202
CYP1A2,-0.33,1.0331073172462362,0.13246327226183185
CYP1A2,-0.32,1.0246465230013289,0.1384981631430775
CYP1A2,-0.31,1.0163751989449237,0.14434457555784963
CYP1A2,-0.3,1.0083019027169686,0.15000250950614746
CYP1A2,-0.29,1.0004364661948109,0.15547196498797133
CYP1A2,-0.28,0.9927636200411719,0.16075294200332124
CYP1A2,-0.27,0.9852873312381262,0.1658454405521972
CYP1A2,-0.26,0.9780064749330788,0.1707494606345994
CYP1A2,-0.25,0.9709145068094157,0.1754650022505274
CYP1A2,-0.24,0.9639987737090571,0.17999206539998147
CYP1A2,-0.23,0.9572922763894539,0.18433065008296157
CYP1A2,-0.22,0.9507796257086734,0.1884807562994678
CYP1A2,-0.21,0.9444880887592967,0.1924423840495001
CYP1A2,-0.2,0.9384109621431478,0.1962155333330582
CYP1A2,-0.19,0.932564371249665,0.19980020415014244
CYP1A2,-0.18,0.9269246731238758,0.20319639650075283
CYP1A2,-0.17,0.9215084588444826,0.20640411038488915
CYP1A2,-0.16,0.9163249360511135,0.2094233458025515
CYP1A2,-0.15,0.9113772803811643,0.2122541027537398
CYP1A2,-0.14,0.9066498117755923,0.21489638123845434
CYP1A2,-0.13,0.9021327113244821,0.2173501812566948
CYP1A2,-0.12,0.8978168511811296,0.2196155028084612
CYP1A2,-0.11,0.8937009498031482,0.22169234589375375
CYP1A2,-0.1,0.8897980998724859,0.22358071051257244
CYP1A2,-0.09,0.8861191546822123,0.22528059666491695
CYP1A2,-0.08,0.8827083723912207,0.2267920043507876
CYP1A2,-0.07,0.8795181006731931,0.2281149335701843
CYP1A2,-0.06,0.8765445016584419,0.22924938432310704
CYP1A2,-0.05,0.8737869538756341,0.2301953566095557
CYP1A2,-0.04,0.8712735284845193,0.2309528504295304
CYP1A2,-0.03,0.8689697172349795,0.23152186578303113
CYP1A2,-0.02,0.8668721790251995,0.23190240267005813
CYP1A2,-0.01,0.8649933730925328,0.23209446109061094
CYP1A2,0.0,0.8633423026090382,0.2320980410446899
CYP1A2,0.01,0.8619127382225915,0.23191314253229478
CYP1A2,0.02,0.8606461818060999,0.2315397655534257
CYP1A2,0.03,0.8595945122326991,0.23097791010808266
CYP1A2,0.04,0.8587650194462849,0.23022757619626566
CYP1A2,0.05,0.8581396791068268,0.22928876381797492
CYP1A2,0.06,0.8577107050932959,0.22816147297320988
CYP1A2,0.07,0.8575048414065155,0.22684570366197088
CYP1A2,0.08,0.8575052785530218,0.22534145588425825
CYP1A2,0.09,0.8577031500807035,0.22364872964007132
CYP1A2,0.1,0.8581178999463005,0.22176752492941065
CYP1A2,0.11,0.8587646849153825,0.2196978417522758
CYP1A2,0.12,0.859620895623675,0.2174396801086672
CYP1A2,0.13,0.8607203106583647,0.21499303999858455
CYP1A2,0.14,0.8620547826834283,0.21235792142202803
CYP1A2,0.15,0.8636329833369396,0.20953432437899722
CYP1A2,0.16,0.8654569791951476,0.20652224886949266
CYP1A2,0.17,0.8674915967931339,0.20332169489351415
CYP1A2,0.18,0.8697531964757773,0.19993266245106178
CYP1A2,0.19,0.8722492478435256,0.196355151542135
CYP1A2,0.2,0.8749402120899042,0.19258916216673472
CYP1A2,0.21,0.8778535437445044,0.18863469432486046
CYP1A2,0.22,0.8809618858648578,0.18449174801651214
CYP1A2,0.23,0.8843025525217555,0.1801603232416894
CYP1A2,0.24,0.8878890670311196,0.17564042000039326
CYP1A2,0.25,0.8916827162372151,0.17093203829262293
CYP1A2,0.26,0.8957136361758673,0.16603517811837887
CYP1A2,0.27,0.8999805675078134,0.1609498394776605
CYP1A2,0.28,0.9044778383940115,0.1556760223704683
