isoform,s,strae,r2
CYP2C9,1.15,0.7098608114252938,0.36691199525326756
CYP2C9,1.16,0.7131166291467571,0.3642967590619022
CYP2C9,1.17,0.7164839857661272,0.36158141436420066
CYP2C9,1.18,0.7199488811144898,0.3587659611601629
CYP2C9,1.19,0.7235023352177254,0.3558503994497887
CYP2C9,1.2,0.7271593330319405,0.35283472923307846
CYP2C9,1.21,0.7309107943964499,0.3497189505100319
CYP2C9,1.22,0.7347428650647447,0.34650306328064906
CYP2C9,1.23,0.7386505593253393,0.34318706754493
CYP2C9,1.24,0.7426430230818863,0.3397709633028747
CYP2C9,1.25,0.7467141822778124,0.3362547505544833
CYP2C9,1.26,0.7508765738319645,0.3326384292997554
CYP2C9,1.27,0.7551245283852388,0.3289219995386914
CYP2C9,1.28,0.7594703970978519,0.32510546127129103
CYP2C9,1.29,0.7639030982912319,0.32118881449755454
CYP2C9,1.3,0.7684403313620486,0.3171720592174817
CYP2C9,1.31,0.7730685038011745,0.31305519543107274
CYP2C9,1.32,0.7777550554634571,0.30883822313832743
CYP2C9,1.33,0.7825212336150698,0.304521142339246
CYP2C9,1.34,0.7873724103397453,0.3001039530338282
CYP2C9,1.35,0.7922989272929752,0.29558665522207417
CYP2C9,1.36,0.7973112422290348,0.2909692489039839
CYP2C9,1.37,0.8024006347395284,0.2862517340795575
CYP2C9,1.38,0.8075820299837572,0.28143411074879476
CYP2C9,1.39,0.8128551323357415,0.2765163789116958
CYP2C9,1.4,0.8182028010300972,0.27149853856826045
CYP2C9,1.41,0.8236390631980302,0.2663805897184891
CYP2C9,1.42,0.8291542040876062,0.2611625323623814
CYP2C9,1.43,0.8347270599849328,0.25584436649993736
CYP2C9,1.44,0.8403682016655497,0.2504260921311571
CYP2C9,1.45,0.8460834427562184,0.24490770925604055
CYP2C9,1.46,0.8518661545941755,0.2392892178745879
CYP2C9,1.47,0.8577279588572368,0.233570617986799
CYP2C9,1.48,0.8636607256322403,0.22775190959267366
CYP2C9,1.49,0.8696541900630834,0.2218330926922123
CYP2C9,1.5,0.8756923746933538,0.21581416728541458
CYP2C9,1.51,0.8817866774215288,0.20969513337228052
CYP2C9,1.52,0.8879497490535537,0.20347599095281044
CYP2C9,1.53,0.8941817721523708,0.1971567400270039
CYP2C9,1.54,0.900463378167441,0.19073738059486123
CYP2C9,1.55,0.9067781566060632,0.18421791265638243
CYP2C9,1.56,0.913163731917432,0.17759833621156718
CYP2C9,1.57,0.9196312379016957,0.1708786512604158
CYP2C9,1.58,0.9262025442631672,0.16405885780292806
CYP2C9,1.59,0.9328431196588234,0.1571389558391042
CYP2C9,1.6,0.939554764548374,0.150118945368944
CYP2C9,1.61,0.9463250591589425,0.14299882639244754
CYP2C9,1.62,0.9531461906069065,0.13577859890961474
CYP2C9,1.63,0.9600336621076411,0.12845826292044626
CYP2C9,1.64,0.9669863230198295,0.12103781842494099
CYP2C9,1.65,0.9739939120216455,0.11351726542309959
CYP2C9,1.66,0.9810833270815223,0.10589660391492195
CYP2C9,1.67,0.9882268139023623,0.09817583390040807
CYP2C9,1.68,0.9954247479558488,0.09035495537955784
CYP2C9,1.69,1.0026893737818199,0.0824339683523716
CYP2C9,1.7,1.0100143741460659,0.0744128728188489
CYP2C9,1.71,1.0174002498172436,0.06629166877898995
CYP2C9,1.72,1.0248528029144606,0.058070356232794884
CYP2C9,1.73,1.0323463646218043,0.049748935180263576
CYP2C9,1.74,1.0398973064277952,0.04132740562139581
CYP2C9,1.75,1.0474961401763254,0.03280576755619202
CYP2C9,1.76,1.0551424794530528,0.02418402098465189
CYP2C9,1.77,1.062849863311676,0.015462165906775516
