isoform,offset,s,strae
CYP1A2,-1.85,1.3,3.3421314786595344
CYP1A2,-1.85,1.35,3.339360471527487
CYP1A2,-1.85,1.4,3.3370790644461246
CYP1A2,-1.85,1.45,3.335184449996794
CYP1A2,-1.85,1.5,3.333800985858057
CYP1A2,-1.85,1.55,3.332928519866101
CYP1A2,-1.85,1.6,3.332511203476244
CYP1A2,-1.85,1.65,3.3325489066147282
CYP1A2,-1.85,1.7,3.333008665015761
CYP1A2,-1.85,1.75,3.333846869677193
CYP1A2,-1.85,1.8,3.335118155636122
CYP1A2,-1.85,1.85,3.3369166327568114
CYP1A2,-1.85,1.9,3.3391699413291946
CYP1A2,-1.85,1.95,3.341951144694249
CYP1A2,-1.85,2.0,3.3450962666337754
CYP1A2,-1.85,2.05,3.348769021142749
CYP1A2,-1.85,2.1,3.353050716059966
CYP1A2,-1.85,2.15,3.3579394822008872
CYP1A2,-1.85,2.2,3.36346118520795
CYP1A2,-1.85,2.25,3.369700613744664
CYP1A2,-1.85,2.3,3.3765627787102694
CYP1A2,-1.85,2.35,3.3841036146927586
CYP1A2,-1.85,2.4,3.39240803384868
CYP1A2,-1.85,2.45,3.4014456486390614
CYP1A2,-1.85,2.5,3.4112582592805683
CYP1A2,-1.85,2.55,3.421741867218536
CYP1A2,-1.85,2.6,3.432930787408404
CYP1A2,-1.85,2.65,3.444845608180099
CYP1A2,-1.85,2.7,3.457474137288284
CYP1A2,-1.85,2.75,3.470760973978076
CYP1A2,-1.85,2.8,3.4847813177144134
CYP1A2,-1.85,2.85,3.499527681571219
CYP1A2,-1.85,2.9,3.5150308905368455
CYP1A2,-1.85,2.95,3.5312502381880835
CYP1A2,-1.85,3.0,3.548163718701227
CYP1A2,-1.8,0.2,3.36968291935578
CYP1A2,-1.8,0.25,3.36279811076087
CYP1A2,-1.8,0.3,3.3560652784259752
CYP1A2,-1.8,0.35,3.349454884437205
CYP1A2,-1.8,0.4,3.3429152946855303
CYP1A2,-1.8,0.45,3.3364681611458242
CYP1A2,-1.8,0.5,3.3301434903706344
CYP1A2,-1.8,0.55,3.32392007147007
CYP1A2,-1.8,0.6,3.3178262310319147
CYP1A2,-1.8,0.65,3.31182779308109
CYP1A2,-1.8,0.7,3.305912932597271
CYP1A2,-1.8,0.75,3.3001422188295306
CYP1A2,-1.8,0.8,3.294514574745654
CYP1A2,-1.8,0.85,3.289047882469213
CYP1A2,-1.8,0.9,3.283861414611218
CYP1A2,-1.8,0.95,3.2788655832082103
CYP1A2,-1.8,1.0,3.274099474963355
CYP1A2,-1.8,1.05,3.2696082615277104
CYP1A2,-1.8,1.1,3.265408496909075
CYP1A2,-1.8,1.15,3.261418749859846
CYP1A2,-1.8,1.2,3.257691461480252
CYP1A2,-1.8,1.25,3.2542982380796626
CYP1A2,-1.8,1.3,3.2511673643509917
CYP1A2,-1.8,1.35,3.248440712113471
CYP1A2,-1.8,1.4,3.24610758255907
CYP1A2,-1.8,1.45,3.2442427910015224
CYP1A2,-1.8,1.5,3.2428814532847663
CYP1A2,-1.8,1.55,3.2420516234658887
CYP1A2,-1.8,1.6,3.2417228882972764
CYP1A2,-1.8,1.65,3.241887953291079
CYP1A2,-1.8,1.7,3.242486624276383
CYP1A2,-1.8,1.75,3.2435170423538007
CYP1A2,-1.8,1.8,3.2450265516267556
CYP1A2,-1.8,1.85,3.247030990773682
CYP1A2,-1.8,1.9,3.249600923834178
CYP1A2,-1.8,1.95,3.252533912705744
CYP1A2,-1.8,2.0,3.2560569478032986
CYP1A2,-1.8,2.05,3.2601520434456486
CYP1A2,-1.8,2.1,3.264846431821426
CYP1A2,-1.8,2.15,3.2701449640679296
CYP1A2,-1.8,2.2,3.2761777935543925
CYP1A2,-1.8,2.25,3.2828794687573453
CYP1A2,-1.8,2.3,3.2903349300886213
CYP1A2,-1.8,2.35,3.2984917973795915
CYP1A2,-1.8,2.4,3.3074666180731622
CYP1A2,-1.8,2.45,3.3171707246608078
CYP1A2,-1.8,2.5,3.3275473587000923
CYP1A2,-1.8,2.55,3.338719108910015
CYP1A2,-1.8,2.6,3.350635250488162
CYP1A2,-1.8,2.65,3.363290967744308
CYP1A2,-1.8,2.7,3.3766692486966727
CYP1A2,-1.8,2.75,3.3907689482661993
CYP1A2,-1.8,2.8,3.405621647432124
CYP1A2,-1.8,2.85,3.421230999580635
CYP1A2,-1.8,2.9,3.4375912489497935
CYP1A2,-1.8,2.95,3.454621581638405
CYP1A2,-1.8,3.0,3.472377893951892
CYP1A2,-1.75,0.2,3.2801202240399525
CYP1A2,-1.75,0.25,3.273180868800752
CYP1A2,-1.75,0.3,3.266327397626316
CYP1A2,-1.75,0.35,3.259649267266544
CYP1A2,-1.75,0.4,3.2531133826592997
CYP1A2,-1.75,0.45,3.2466337331898676
CYP1A2,-1.75,0.5,3.240254313715146
CYP1A2,-1.75,0.55,3.233984967908011
CYP1A2,-1.75,0.6,3.227798331294936
CYP1A2,-1.75,0.65,3.22176278029789
CYP1A2,-1.75,0.7,3.215841919842535
CYP1A2,-1.75,0.75,3.209999962144854
CYP1A2,-1.75,0.8,3.204303313308639
CYP1A2,-1.75,0.85,3.1987673777236925
CYP1A2,-1.75,0.9,3.1934929816990087
CYP1A2,-1.75,0.95,3.1884502721872305
CYP1A2,-1.75,1.0,3.183697488532754
CYP1A2,-1.75,1.05,3.1791853412376874
CYP1A2,-1.75,1.1,3.1749708742227867
CYP1A2,-1.75,1.15,3.170980791811871
CYP1A2,-1.75,1.2,3.1672220385597334
CYP1A2,-1.75,1.25,3.1638137839093385
CYP1A2,-1.75,1.3,3.16073829732866
CYP1A2,-1.75,1.35,3.1580408728084306
CYP1A2,-1.75,1.4,3.1556845916945404
CYP1A2,-1.75,1.45,3.153876601913704
CYP1A2,-1.75,1.5,3.152549714062724
CYP1A2,-1.75,1.55,3.1517213044864714
CYP1A2,-1.75,1.6,3.1515267237632085
CYP1A2,-1.75,1.65,3.1517907223385615
CYP1A2,-1.75,1.7,3.152563779689333
CYP1A2,-1.75,1.75,3.15381750280381
CYP1A2,-1.75,1.8,3.1555021284173255
CYP1A2,-1.75,1.85,3.1577203218950727
CYP1A2,-1.75,1.9,3.160485104968937
CYP1A2,-1.75,1.95,3.1638564169764862
CYP1A2,-1.75,2.0,3.167751985299643
CYP1A2,-1.75,2.05,3.1722759378316026
CYP1A2,-1.75,2.1,3.177393950360596
CYP1A2,-1.75,2.15,3.1832462781064343
CYP1A2,-1.75,2.2,3.1897674916416103
CYP1A2,-1.75,2.25,3.197047810907679
CYP1A2,-1.75,2.3,3.2051221623366004
CYP1A2,-1.75,2.35,3.2140688560716346
CYP1A2,-1.75,2.4,3.223678857427235
CYP1A2,-1.75,2.45,3.234010205639518
CYP1A2,-1.75,2.5,3.245084092830725
CYP1A2,-1.75,2.55,3.256932564334802
CYP1A2,-1.75,2.6,3.2695898318782657
CYP1A2,-1.75,2.65,3.283049228179413
CYP1A2,-1.75,2.7,3.2972234246900687
CYP1A2,-1.75,2.75,3.3121314822891468
CYP1A2,-1.75,2.8,3.3278795788389104
CYP1A2,-1.75,2.85,3.344395029761948
CYP1A2,-1.75,2.9,3.361581647835944
CYP1A2,-1.75,2.95,3.379493471442846
CYP1A2,-1.75,3.0,3.3980608681159543
CYP1A2,-1.7,0.2,3.191167956730011
CYP1A2,-1.7,0.25,3.184089585774897
CYP1A2,-1.7,0.3,3.17717348008152
CYP1A2,-1.7,0.35,3.1703793247909666
CYP1A2,-1.7,0.4,3.1637224179071466
CYP1A2,-1.7,0.45,3.157204676500375
CYP1A2,-1.7,0.5,3.1507718840365984
CYP1A2,-1.7,0.55,3.1444541889448208
CYP1A2,-1.7,0.6,3.1382524553081494
CYP1A2,-1.7,0.65,3.132136520002456
