isoform,combo,repeat,fold,ST-RAE,R2
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+ecfp4_narrow__lightgbm,2,1,0.8127816989537879,0.2452816149057321
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+ecfp4_narrow__lightgbm,2,2,0.8389125797443701,0.26530904228590113
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+ecfp4_narrow__lightgbm,2,3,0.8689570135573258,0.20765656271332267
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+ecfp4_narrow__lightgbm,2,4,0.7541290605644521,0.25419063968566996
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+ecfp4_narrow__lightgbm,3,0,0.7547786057527285,0.28766158438704825
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+ecfp4_narrow__lightgbm,3,1,0.840768779680013,0.2162746242386669
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+ecfp4_narrow__lightgbm,3,2,0.8560003133036441,0.24119249591497594
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+ecfp4_narrow__lightgbm,3,3,0.8216767456027007,0.2387318159615417
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+ecfp4_narrow__lightgbm,3,4,0.7655479926826986,0.2703944460275918
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+ecfp4_narrow__lightgbm,4,0,0.8211355021214973,0.24719200968852656
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+ecfp4_narrow__lightgbm,4,1,0.8239041866620609,0.17192626351052048
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+ecfp4_narrow__lightgbm,4,2,0.7551067580032969,0.29531098494091745
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+ecfp4_narrow__lightgbm,4,3,0.7687608644305296,0.2763638440989637
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+ecfp4_narrow__lightgbm,4,4,0.8339766926742759,0.2707759586616014
CYP1A2,chemprop_chemeleoninit+chemeleon__rf+ecfp4_narrow__lightgbm,0,0,0.7658884045904242,0.28787344316134655
CYP1A2,chemprop_chemeleoninit+chemeleon__rf+ecfp4_narrow__lightgbm,0,1,0.8304905943456565,0.2291099217985377
CYP1A2,chemprop_chemeleoninit+chemeleon__rf+ecfp4_narrow__lightgbm,0,2,0.7732142439599502,0.2807908583278167
CYP1A2,chemprop_chemeleoninit+chemeleon__rf+ecfp4_narrow__lightgbm,0,3,0.7903876404012876,0.2748648493575705
CYP1A2,chemprop_chemeleoninit+chemeleon__rf+ecfp4_narrow__lightgbm,0,4,0.8133526607619666,0.2309167620409434
CYP1A2,chemprop_chemeleoninit+chemeleon__rf+ecfp4_narrow__lightgbm,1,0,0.8393369647689212,0.23762748656420263
CYP1A2,chemprop_chemeleoninit+chemeleon__rf+ecfp4_narrow__lightgbm,1,1,0.8514236088432824,0.2599875305314574
CYP1A2,chemprop_chemeleoninit+chemeleon__rf+ecfp4_narrow__lightgbm,1,2,0.7537162381378566,0.27107197584876735
CYP1A2,chemprop_chemeleoninit+chemeleon__rf+ecfp4_narrow__lightgbm,1,3,0.834983868704105,0.2529592065583722
CYP1A2,chemprop_chemeleoninit+chemeleon__rf+ecfp4_narrow__lightgbm,1,4,0.788260964504348,0.2715823589953075
