config,Endpoint,ST-RAE_mean,ST-RAE_ci_low,ST-RAE_ci_high,MAE_mean,MAE_ci_low,MAE_ci_high,R2_mean,R2_ci_low,R2_ci_high,Spearman_R_mean,Spearman_R_ci_low,Spearman_R_ci_high,Kendall_Tau_mean,Kendall_Tau_ci_low,Kendall_Tau_ci_high
chemprop_multitask_randominit,MA,0.9258726434208489,0.9050321022702964,0.9494609537564198,0.7083367912152425,0.6737084013383093,0.7419713065329894,0.08194119777001144,0.06779081415785068,0.09605161622037287,0.40303650006943564,0.35305984894614617,0.4492511787678476,0.27973590265378023,0.2444568459542634,0.3140286366767825
chemprop_singletask_CYP1A2_chemeleoninit,CYP1A2_pIC50_direct_inhibition,0.8314052488979005,0.7154794271197302,0.9582722061051617,0.6797344823578809,0.6090321363346571,0.7478383187513538,0.2443733252466104,0.10232194608605616,0.3685969493327411,0.48969300986862035,0.3890638050944739,0.5853059935700881,0.3447499985660184,0.2700644795163798,0.4168661673913278
chemprop_singletask_CYP1A2_randominit,CYP1A2_pIC50_direct_inhibition,0.8788361980563159,0.7779950163782908,0.9866538421543191,0.7119725577200324,0.6416495433383573,0.7822921505843863,0.17037433341028982,0.0544536802827234,0.28713996478825027,0.3980687548924743,0.2942827294418832,0.5039924245763969,0.27763911077521525,0.2030879301135396,0.351997094430946
chemprop_singletask_CYP2C9_chemeleoninit,CYP2C9_pIC50_direct_inhibition,0.7546586608884062,0.6535727996267894,0.8680383788272524,0.5459609209501515,0.4905917871646781,0.5984437269365529,0.31437321170623317,0.20055610610117655,0.40861722534796896,0.5461542350738061,0.4562063953641862,0.6259413195938506,0.38305433268321903,0.315881004993745,0.4468686014407807
chemprop_singletask_CYP2C9_randominit,CYP2C9_pIC50_direct_inhibition,0.7810038449237674,0.6994158634888047,0.872143837433456,0.5606846379053106,0.4985742405480114,0.6278884809260417,0.18587705328319487,0.07715572366337298,0.28088182592183264,0.5169688156151105,0.4184799277119707,0.6099295217389098,0.36676007312541703,0.2971823846605633,0.4404694050695917
chemprop_singletask_CYP2D6_chemeleoninit,CYP2D6_pIC50_direct_inhibition,0.9567647046116616,0.9028054791287548,1.0198348157643362,0.6018940786148034,0.5320883111658474,0.6774710495154237,0.09879786308610843,0.039201365580931555,0.1496860850999453,0.31510196376888716,0.20858969425063947,0.41524732342818516,0.21469424959400962,0.14071657654325292,0.28452818098629556
chemprop_singletask_CYP2D6_randominit,CYP2D6_pIC50_direct_inhibition,0.9597316196802833,0.8940982849028384,1.0372402975453812,0.6033771225208102,0.533741242859661,0.675336883263644,0.10007438503051669,0.03298496036415368,0.15909219984002207,0.4126669461316803,0.318869506302359,0.5054783497730897,0.28515056888113616,0.21761068761121455,0.35271027216368156
chemprop_singletask_CYP3A4_chemeleoninit,CYP3A4_pIC50_direct_inhibition,0.4447208931846246,0.38079897465874674,0.5095222283011644,0.5139923810323267,0.4765451141923889,0.5543014875423334,0.6386062139823123,0.581114471966006,0.6948794922154568,0.8123491465470429,0.7757085745574094,0.8481594882093464,0.6189387787142667,0.5840727715333482,0.6548237326718193
chemprop_singletask_CYP3A4_randominit,CYP3A4_pIC50_direct_inhibition,0.5286683091118365,0.4607046850472515,0.5986203861607389,0.5471288246055378,0.5072391167792778,0.5901569289492778,0.5806805229355883,0.5093929742988954,0.6403154505062789,0.776696085530314,0.7321677411508789,0.8165264000785877,0.586290265609492,0.5454643783907062,0.6241977411826725
naive_mean,CYP1A2_pIC50_direct_inhibition,0.9861184107170435,0.9415763783468039,1.03770344856516,0.7819870568212248,0.7030849782834657,0.864198052939751,-0.004820216994857933,-0.02403071663751718,-6.323243943101576e-06,0.0,0.0,0.0,0.0,0.0,0.0
naive_mean,CYP2C9_pIC50_direct_inhibition,1.0362616106302471,0.9808614494219016,1.1074115036848395,0.6654266731996407,0.5981098157383329,0.7312716756188341,-0.009196902091358664,-0.038667530182510464,-1.6145887249024998e-05,0.0,0.0,0.0,0.0,0.0,0.0
naive_mean,CYP2D6_pIC50_direct_inhibition,0.9966262209196706,0.9801890240717341,1.0124171368274981,0.618117089862662,0.5424684252414419,0.6984191800213397,-0.013179299404759379,-0.045529832446165305,-5.551650415386869e-05,0.0,0.0,0.0,0.0,0.0,0.0
naive_mean,CYP3A4_pIC50_direct_inhibition,1.007422596051246,0.9765262701232503,1.0463982610734892,0.9128105264363648,0.8530618468554882,0.9724617175355859,-0.002457337755026302,-0.012784096015770774,-2.025723232312873e-06,0.0,0.0,0.0,0.0,0.0,0.0
naive_mean,MA,1.0066072095795517,0.9865927797763422,1.0308923210519314,0.7445853365799731,0.7075335103808498,0.7799316298382069,-0.007413439061500569,-0.018023406211047234,-0.0011386889857693636,0.0,0.0,0.0,0.0,0.0,0.0
naive_median,CYP1A2_pIC50_direct_inhibition,0.9624819313451792,0.9334715742588555,0.9892314797077852,0.7750778631647112,0.691725126738899,0.8621281463407039,-0.04497466835516701,-0.10047654513647565,-0.008972706114520718,0.0,0.0,0.0,0.0,0.0,0.0
naive_median,CYP2C9_pIC50_direct_inhibition,1.01789740225368,0.9684423809096094,1.0816111127497263,0.6610058893342121,0.5923974988656251,0.7271001284141099,-0.005154472030774065,-0.02600902868606092,-4.3152611515329195e-06,0.0,0.0,0.0,0.0,0.0,0.0
naive_median,CYP2D6_pIC50_direct_inhibition,1.005468689303322,0.9848775005298678,1.0324611269395993,0.6201336910735288,0.5445473866858473,0.6997437877983897,-0.029011407435199376,-0.07566450501343044,-0.0023167611300026897,0.0,0.0,0.0,0.0,0.0,0.0
naive_median,CYP3A4_pIC50_direct_inhibition,0.9679476593946641,0.9522664711931957,0.9861567660285776,0.8957807276492022,0.8318043469722779,0.9577296993248334,-0.020037175105092613,-0.05081830237815217,-0.0016487699760197542,0.0,0.0,0.0,0.0,0.0,0.0
naive_median,MA,0.9884489205742113,0.9719870565899438,1.006802860345593,0.7379995428054136,0.7014013750830511,0.7742226383098989,-0.024794430731558265,-0.04313333624028559,-0.009830744049509706,0.0,0.0,0.0,0.0,0.0,0.0
tabular_baseline__lightgbm,CYP1A2_pIC50_direct_inhibition,0.8545047533115983,0.7610386403507573,0.9539372592192237,0.7060615350392927,0.634217660407348,0.7793472031691729,0.18153980775866246,0.0817296965052374,0.27512797097932074,0.4339479003918843,0.3307967929789642,0.5280603729277252,0.3004345075657332,0.226040697369709,0.37132269061903017
tabular_baseline__lightgbm,CYP2C9_pIC50_direct_inhibition,0.7484988408225286,0.6599855076732422,0.8502551026594714,0.5502961427687202,0.4958175177619945,0.6083348746107139,0.3021942126037494,0.22447922371285342,0.3789754126392875,0.5559014665876696,0.4766567791951013,0.6377663343713439,0.3900773377992543,0.32871212705216246,0.45250972035275006
tabular_baseline__lightgbm,CYP2D6_pIC50_direct_inhibition,0.9679967742748192,0.91532801354387,1.0238742037678075,0.6068793270016903,0.5367271571088118,0.6803314701068143,0.07272568511949963,0.0023555553562621596,0.13139253488376473,0.25022040649284955,0.13775746866716143,0.35191505950998286,0.1684804270451034,0.09145728849694464,0.23855365412392515
tabular_baseline__lightgbm,CYP3A4_pIC50_direct_inhibition,0.5606042255123177,0.4912618425656612,0.6334098932666773,0.5745221225217138,0.5353994497828205,0.6168573760408637,0.555987468339791,0.4876322399037236,0.6187518694741202,0.7380497377076239,0.6868984222149808,0.7829490327964918,0.5468826420641192,0.502658091775812,0.5893900173339506
tabular_baseline__lightgbm,MA,0.782901148480316,0.7423449072677643,0.8225311035587627,0.6094397818328542,0.5803558466651464,0.6401286845579307,0.27811179345542564,0.24035834363912148,0.31421911462587354,0.49452987779500684,0.45225595210518005,0.5396261195904526,0.3514687286185525,0.3201851295192274,0.3846678721207271
tabular_baseline__rf,CYP1A2_pIC50_direct_inhibition,0.8209145466905128,0.7320180867553392,0.9139620611219275,0.6887449852453154,0.6184749417084513,0.7612179711793032,0.21625863374373694,0.1269095324275723,0.3014874904813861,0.4553035947765682,0.3560775792708975,0.5513227185003571,0.3187040094916202,0.24445383267634666,0.3944094003225632
tabular_baseline__rf,CYP2C9_pIC50_direct_inhibition,0.7097702503531464,0.6234541587455132,0.8060480726642469,0.5252066831460765,0.4726542094147186,0.579408330234554,0.3543704517745767,0.27079300837427517,0.4277327244827157,0.5849830760917012,0.49654606757325487,0.6633740140137148,0.4154190960947471,0.34777457705922404,0.4791848556042501
tabular_baseline__rf,CYP2D6_pIC50_direct_inhibition,0.9621360761844958,0.8897946761538905,1.0329452029084112,0.6002673408815349,0.528791377918957,0.6795680371901699,0.0844257078604751,0.006414174521360894,0.15782024359208968,0.32951439910401065,0.22808428590182317,0.4297618622742895,0.2250046459368666,0.15560433366111912,0.29801797899848204
tabular_baseline__rf,CYP3A4_pIC50_direct_inhibition,0.6022108608450019,0.5336284889466187,0.6733510487259613,0.5980097214827151,0.5540077553382201,0.6414500744901425,0.5132013568897618,0.4467427819630859,0.5779838199838806,0.7022996393807723,0.649669298464238,0.7529318645877984,0.5134135544296434,0.46812944051941485,0.5590128791335457
tabular_baseline__rf,MA,0.7737579335182893,0.729951716682368,0.8134005987874738,0.6030571826889105,0.5731872117802956,0.6339141914868298,0.2920640375671376,0.25486465346055137,0.33045774360860836,0.5180251773382631,0.4756858585340008,0.5609449351525604,0.36813532648821934,0.3365348084426632,0.4005488390837948
tabular_baseline__xgboost,CYP1A2_pIC50_direct_inhibition,0.9018510609622493,0.7964292210664948,1.0171535652216825,0.7353502974286245,0.6650650923145306,0.8091621746910649,0.15052117380492036,0.04978078159354256,0.2484581634316712,0.3994512634402434,0.2992183655276562,0.49931164139088263,0.2770124891356092,0.20837390060271158,0.35092571361304276
tabular_baseline__xgboost,CYP2C9_pIC50_direct_inhibition,0.7586438747196153,0.6724482905156648,0.8591326920202613,0.544886920033303,0.49013195913011365,0.5997155766979168,0.31260168147807443,0.23277201676361745,0.38307532490559876,0.55657359287952,0.4631281736159189,0.6435237572395452,0.4031277118055425,0.3308169497928103,0.4735883566258433
tabular_baseline__xgboost,CYP2D6_pIC50_direct_inhibition,0.9484920142141906,0.8925801999098112,1.0064969463503084,0.5999029371793797,0.5327501348882203,0.6786917011217796,0.08820825001889715,0.026319932795772386,0.14633928145085712,0.3155425684699437,0.20482936793848766,0.40972100933862504,0.2159830518588468,0.13701987534473561,0.2870644370525599
tabular_baseline__xgboost,CYP3A4_pIC50_direct_inhibition,0.586868711412538,0.5159916568706902,0.6655174006943576,0.5855135278316467,0.5442029197596667,0.6256476085312221,0.5461466494598344,0.47513740763940104,0.6082705627746717,0.7221346391001979,0.6692726885198751,0.7689311096909993,0.5328088936894183,0.48704717696563576,0.5747726599107921
tabular_baseline__xgboost,MA,0.7989639153271483,0.7555360578803996,0.843529816661017,0.6164134206182385,0.5867519255674419,0.6485849296022401,0.27436943869043157,0.23631999971872794,0.3125199684014272,0.49842551597247625,0.4527401372157958,0.5449907216457316,0.35723303662235417,0.32412535110910434,0.39172900106019337
tabular_rdkit2d__lightgbm,CYP1A2_pIC50_direct_inhibition,0.9112548653412952,0.8060778304231746,1.0272231543288124,0.7399678453190875,0.6702996025261433,0.8114481187019519,0.14354691763224972,0.02176368742031517,0.24813260394390044,0.42750152688246035,0.3273414686596885,0.5244187127951736,0.2952339397421131,0.2245881947914553,0.3642219600799491
