n_components,explained_variance_ratio,cumulative_explained_variance
295,6.975885589472191e-05,0.9940196981147851
296,6.931978258145703e-05,0.9940890178973666
297,6.854433915018213e-05,0.9941575622365167
298,6.805122774218953e-05,0.994225613464259
299,6.67746250608021e-05,0.9942923880893197
300,6.555197346303492e-05,0.9943579400627828
301,6.486038578799434e-05,0.9944228004485708
302,6.473281534953312e-05,0.9944875332639204
303,6.395798941216212e-05,0.9945514912533325
304,6.234077170934369e-05,0.9946138320250418
305,6.189130931643668e-05,0.9946757233343583
306,6.13052532759636e-05,0.9947370285876342
307,6.067674584675193e-05,0.994797705333481
308,5.965096824388365e-05,0.9948573563017249
309,5.9110287589562084e-05,0.9949164665893144
310,5.883323081688101e-05,0.9949752998201313
311,5.8015654967803354e-05,0.9950333154750991
312,5.7343390320934986e-05,0.99509065886542
313,5.6850959265308605e-05,0.9951475098246854
314,5.619813935120699e-05,0.9952037079640366
315,5.5605887271624364e-05,0.9952593138513082
316,5.532410597066799e-05,0.9953146379572788
317,5.4208917856487524e-05,0.9953688468751353
318,5.407424792976308e-05,0.9954229211230651
319,5.30520457267642e-05,0.9954759731687919
320,5.2842239182190465e-05,0.9955288154079741
321,5.198260540083632e-05,0.995580798013375
322,5.11875750895896e-05,0.9956319855884646
323,5.0905650451510045e-05,0.9956828912389161
324,5.062496556367747e-05,0.9957335162044797
325,5.037115904920278e-05,0.9957838873635289
326,4.927683813702484e-05,0.9958331642016659
327,4.8242350802872004e-05,0.9958814065524688
328,4.743522630256309e-05,0.9959288417787714
329,4.720565644502533e-05,0.9959760474352164
330,4.649106293193715e-05,0.9960225384981484
331,4.644799448728572e-05,0.9960689864926356
332,4.5813501784935885e-05,0.9961147999944205
333,4.552450026202082e-05,0.9961603244946826
334,4.5355204231006905e-05,0.9962056796989136
335,4.4766347023995156e-05,0.9962504460459376
336,4.374577677452609e-05,0.9962941918227122
337,4.324444361532544e-05,0.9963374362663275
338,4.2603684321224075e-05,0.9963800399506487
339,4.238445862855892e-05,0.9964224244092773
340,4.199588040951537e-05,0.9964644202896868
341,4.1644518276438825e-05,0.9965060648079633
342,4.090672295876843e-05,0.9965469715309221
343,4.019931412277004e-05,0.9965871708450449
344,3.9648061581951395e-05,0.9966268189066269
345,3.9341210679628137e-05,0.9966661601173065
346,3.925995007726686e-05,0.9967054200673837
347,3.8582013528352054e-05,0.9967440020809121
348,3.852109960613292e-05,0.9967825231805182
349,3.8169791390115244e-05,0.9968206929719083
350,3.799615177680225e-05,0.9968586891236851
351,3.7274940892780926e-05,0.9968959640645779
352,3.7116326857196896e-05,0.9969330803914351
353,3.6553034392155425e-05,0.9969696334258273
354,3.590525661625003e-05,0.9970055386824436
355,3.543331454450942e-05,0.997040971996988
356,3.519674631731828e-05,0.9970761687433054
357,3.465972082200756e-05,0.9971108284641275
358,3.4472769566626513e-05,0.997145301233694
359,3.4253412056836906e-05,0.9971795546457509
360,3.358361500639721e-05,0.9972131382607573
361,3.3214313578220435e-05,0.9972463525743355
362,3.296479263657017e-05,0.9972793173669721
363,3.255112754054583e-05,0.9973118684945126
364,3.249799983472488e-05,0.9973443664943473
365,3.1969325729837707e-05,0.9973763358200771
366,3.1427456003994814e-05,0.9974077632760812
367,3.137446958344397e-05,0.9974391377456646
368,3.087875723698888e-05,0.9974700165029016
369,3.0311686391154196e-05,0.9975003281892927
370,2.9896059261351936e-05,0.9975302242485541
371,2.956707418868513e-05,0.9975597913227428
372,2.942203019225223e-05,0.997589213352935
373,2.9124624833544342e-05,0.9976183379777686
374,2.8678431626951312e-05,0.9976470164093955
375,2.8346626991345954e-05,0.9976753630363868
376,2.808703751626443e-05,0.997703450073903
377,2.77799313541955e-05,0.9977312300052572
378,2.7149007274326246e-05,0.9977583790125315
379,2.689762737862965e-05,0.9977852766399101
380,2.663234089103868e-05,0.9978119089808012
381,2.633058361486862e-05,0.9978382395644161
382,2.6182506786525727e-05,0.9978644220712026
383,2.5707326498262596e-05,0.9978901293977009
384,2.5247451612164322e-05,0.9979153768493131
385,2.5174100453168034e-05,0.9979405509497663
386,2.5040358639380852e-05,0.9979655913084057
387,2.4854958798593403e-05,0.9979904462672042
388,2.4314711634376903e-05,0.9980147609788386
389,2.422267816473693e-05,0.9980389836570033
390,2.3897162850794243e-05,0.9980628808198541
391,2.3584504444171205e-05,0.9980864653242982
392,2.3393406512956304e-05,0.9981098587308112
393,2.314102204762199e-05,0.9981329997528587
394,2.2889463638892382e-05,0.9981558892164977
395,2.2751229494039704e-05,0.9981786404459917
396,2.2631609220623975e-05,0.9982012720552124
397,2.2328284175638615e-05,0.998223600339388
398,2.2005106585020256e-05,0.998245605445973
399,2.1937021308663384e-05,0.9982675424672817
400,2.160180789308458e-05,0.9982891442751748
401,2.121155960148616e-05,0.9983103558347762
402,2.075022432920912e-05,0.9983311060591055
403,2.059856190236308e-05,0.9983517046210079
404,2.048145211263521e-05,0.9983721860731205
405,2.020990899945427e-05,0.9983923959821199
406,1.983185342069563e-05,0.9984122278355406
407,1.962765003878797e-05,0.9984318554855794
408,1.9553237901297292e-05,0.9984514087234807
409,1.935302334171924e-05,0.9984707617468225
410,1.9106862731171265e-05,0.9984898686095537
411,1.892042717387672e-05,0.9985087890367276
412,1.8391274025534198e-05,0.9985271803107532
413,1.8329022091404478e-05,0.9985455093328446
414,1.7983921156800425e-05,0.9985634932540014
415,1.7709822665743026e-05,0.9985812030766671
416,1.7627499857315633e-05,0.9985988305765244
417,1.7494963962838922e-05,0.9986163255404873
418,1.708269156659981e-05,0.9986334082320539
419,1.6897274605522957e-05,0.9986503055066595
420,1.686702241392225e-05,0.9986671725290733
421,1.6610528057893912e-05,0.9986837830571312
422,1.6239367278830736e-05,0.99870002242441
423,1.6175983194377848e-05,0.9987161984076044
424,1.598083597775785e-05,0.9987321792435822
425,1.5807439360679508e-05,0.9987479866829428
426,1.5475220995098062e-05,0.9987634619039379
427,1.5416642295675213e-05,0.9987788785462336
428,1.5157025573261252e-05,0.9987940355718069
429,1.4723149201157645e-05,0.998808758721008
430,1.432520623542155e-05,0.9988230839272435
431,1.4290852951175727e-05,0.9988373747801946
432,1.423254246202446e-05,0.9988516073226567
433,1.415331829706667e-05,0.9988657606409537
434,1.3787213046099587e-05,0.9988795478539998
435,1.3723824129629417e-05,0.9988932716781295
436,1.3553569038479521e-05,0.9989068252471679
437,1.3313825428849294e-05,0.9989201390725967
438,1.3153964682117699e-05,0.9989332930372788
439,1.2905303910042147e-05,0.9989461983411889
440,1.2784313305397591e-05,0.9989589826544943
441,1.2676151723640054e-05,0.998971658806218
442,1.2538665826052317e-05,0.998984197472044
443,1.2450263167431736e-05,0.9989966477352115
444,1.2200147275930123e-05,0.9990088478824873
445,1.2136817733715479e-05,0.999020984700221
446,1.2031738891706067e-05,0.9990330164391128
447,1.1869811076197931e-05,0.999044886250189
448,1.1804668926197417e-05,0.9990566909191152
449,1.1624407780056821e-05,0.9990683153268952
450,1.1334413036744076e-05,0.9990796497399319
451,1.1185251799150133e-05,0.999090834991731
452,1.1028823173363353e-05,0.9991018638149044
453,1.0986965897370246e-05,0.9991128507808018
454,1.0784706118843678e-05,0.9991236354869206
455,1.063857352754804e-05,0.9991342740604482
456,1.0498232868728844e-05,0.9991447722933169
457,1.0396758285567309e-05,0.9991551690516024
458,1.0210004660223183e-05,0.9991653790562626
459,1.0140621992322843e-05,0.9991755196782549
460,1.0015422338408112e-05,0.9991855351005933
461,9.901641707591608e-06,0.9991954367423008
462,9.655015233087632e-06,0.9992050917575339
463,9.548795023126372e-06,0.999214640552557
464,9.433491021133673e-06,0.9992240740435782
465,9.310333735684732e-06,0.9992333843773138
466,9.247194335778025e-06,0.9992426315716496
467,9.134072087883993e-06,0.9992517656437375
468,9.096084976709965e-06,0.9992608617287142
469,9.023659915202168e-06,0.9992698853886294
470,8.839987486980945e-06,0.9992787253761164
471,8.830850007392084e-06,0.9992875562261238
472,8.711152071601136e-06,0.9992962673781953
473,8.578576558167167e-06,0.9993048459547534
474,8.552286907754138e-06,0.9993133982416612
475,8.398501688110258e-06,0.9993217967433493
476,8.243629099215044e-06,0.9993300403724485
477,8.099102171420946e-06,0.9993381394746199
478,8.02894436950941e-06,0.9993461684189894
479,7.92753598414655e-06,0.9993540959549735
480,7.848746200511214e-06,0.999361944701174
481,7.647510130998151e-06,0.9993695922113051
482,7.603804218748855e-06,0.9993771960155238
483,7.52729184144241e-06,0.9993847233073652
484,7.387640853175411e-06,0.9993921109482183
485,7.286962761004635e-06,0.9993993979109793
486,7.170709488590094e-06,0.999406568620468
487,7.089922022798625e-06,0.9994136585424908
488,7.012484169952222e-06,0.9994206710266607
489,6.944255742826043e-06,0.9994276152824035
490,6.864204342129987e-06,0.9994344794867457
491,6.777712493060808e-06,0.9994412571992387
492,6.701963087600093e-06,0.9994479591623263
493,6.6056477451066124e-06,0.9994545648100714
494,6.517075984972519e-06,0.9994610818860564
495,6.394755446974726e-06,0.9994674766415034
496,6.374289206272073e-06,0.9994738509307096
497,6.308347056434381e-06,0.999480159277766
498,6.237132039679233e-06,0.9994863964098057
499,6.148116452764083e-06,0.9994925445262585
500,6.082267807285099e-06,0.9994986267940658
501,6.050798973754695e-06,0.9995046775930395
502,5.96827923666765e-06,0.9995106458722762
503,5.925875680098562e-06,0.9995165717479563
504,5.7963618323345735e-06,0.9995223681097886
505,5.773199381096096e-06,0.9995281413091697
506,5.718147913593513e-06,0.9995338594570833
507,5.651338395490156e-06,0.9995395107954788
508,5.564457171781481e-06,0.9995450752526506
509,5.458965609285799e-06,0.9995505342182599
510,5.449305344310416e-06,0.9995559835236042
511,5.40584622637991e-06,0.9995613893698305
512,5.373876185150643e-06,0.9995667632460157
513,5.219924295203329e-06,0.9995719831703109
514,5.1825236718868316e-06,0.9995771656939828
515,5.142319436759981e-06,0.9995823080134195
516,5.1147965443903745e-06,0.9995874228099639
517,5.080925189860253e-06,0.9995925037351538
518,4.9290244519943875e-06,0.9995974327596059
519,4.841075966953457e-06,0.9996022738355729
520,4.778171163167484e-06,0.999607052006736
521,4.71258443976077e-06,0.9996117645911758
522,4.668732931093292e-06,0.999616433324107
523,4.654921733000634e-06,0.99962108824584
524,4.602019863053135e-06,0.999625690265703
525,4.527213918488738e-06,0.9996302174796216
526,4.4816669930127705e-06,0.9996346991466145
527,4.418306546497284e-06,0.999639117453161
528,4.39168210686031e-06,0.9996435091352679
529,4.364529545525929e-06,0.9996478736648134
530,4.273470714159927e-06,0.9996521471355276
531,4.2334839573104566e-06,0.9996563806194849
532,4.189782574189664e-06,0.9996605704020591
533,4.133327459265898e-06,0.9996647037295184
534,4.1140007676200025e-06,0.999668817730286
535,4.090303772477481e-06,0.9996729080340585
536,4.002113616846928e-06,0.9996769101476753
537,3.9416140534801065e-06,0.9996808517617288
538,3.8531961887387855e-06,0.9996847049579176
539,3.824975882098169e-06,0.9996885299337998
540,3.7907080996906053e-06,0.9996923206418994
541,3.744569567811223e-06,0.9996960652114673
542,3.721172283967103e-06,0.9996997863837512
543,3.690273194908714e-06,0.9997034766569461
544,3.632290609692385e-06,0.9997071089475559
545,3.5766029635820294e-06,0.9997106855505195
546,3.529756478977523e-06,0.9997142153069984
547,3.5024360968356516e-06,0.9997177177430953
548,3.4418407837749746e-06,0.9997211595838791
549,3.4235761582999782e-06,0.9997245831600374
550,3.406787685498464e-06,0.9997279899477229
551,3.3553228084149657e-06,0.9997313452705313
552,3.3309241684315202e-06,0.9997346761946997
553,3.2831749917939657e-06,0.9997379593696915
554,3.2485679676425614e-06,0.9997412079376591
555,3.190349143755135e-06,0.9997443982868028
556,3.1455500411677866e-06,0.999747543836844
557,3.1306910905718167e-06,0.9997506745279346
558,3.098702857062033e-06,0.9997537732307917
559,3.0379075002710944e-06,0.999756811138292
560,3.0326682407743776e-06,0.9997598438065327
561,2.9947249558380822e-06,0.9997628385314885
562,2.929416433949259e-06,0.9997657679479225
563,2.918554084465601e-06,0.999768686502007
564,2.848681589752381e-06,0.9997715351835967
565,2.8062172106155544e-06,0.9997743414008073
566,2.796960166161931e-06,0.9997771383609735
567,2.783782153834012e-06,0.9997799221431273
568,2.7218599441409714e-06,0.9997826440030714
569,2.699147600125678e-06,0.9997853431506715
570,2.6692246954904656e-06,0.999788012375367
571,2.640881213144722e-06,0.9997906532565801
572,2.6051900664035255e-06,0.9997932584466466
