config,repeat,fold,bootstrap_seed,CYP1A2_ST-RAE,CYP1A2_MAE,CYP1A2_R2,CYP1A2_Spearman_R,CYP1A2_Kendall_Tau,CYP2C9_ST-RAE,CYP2C9_MAE,CYP2C9_R2,CYP2C9_Spearman_R,CYP2C9_Kendall_Tau,CYP2D6_ST-RAE,CYP2D6_MAE,CYP2D6_R2,CYP2D6_Spearman_R,CYP2D6_Kendall_Tau,CYP3A4_ST-RAE,CYP3A4_MAE,CYP3A4_R2,CYP3A4_Spearman_R,CYP3A4_Kendall_Tau,MA_ST-RAE,MA_MAE,MA_R2,MA_Spearman_R,MA_Kendall_Tau
mordred_pca__rf,3,0,176092387,0.9253476772334145,0.7015904545781982,0.14536048959468414,0.39943370886518953,0.2663649523280969,0.8664776494494503,0.55900988735179,0.1878748970773581,0.43164859054982235,0.3015108584603973,0.9813001029294514,0.6377799852288473,0.07751222675118641,0.25806304226236115,0.17398830720862674,0.7335342974453752,0.7378874675132834,0.3126178552872375,0.604468192446393,0.42792023412828883,0.8766649317644228,0.6590669486680297,0.18084136717761654,0.4234033835309415,0.29244608803135247
mordred_pca__rf,3,1,3528048386,0.9719603399989709,0.735348581408923,0.11818716276534763,0.34385423534039183,0.23830793622264304,0.8758251662799706,0.5198618118542195,0.139250971460737,0.3907629450433108,0.2692866683355399,0.953978678831393,0.6393486781528187,0.05209899528772265,0.28091709201255083,0.19056517466339679,0.7730223166496426,0.6958634636199611,0.3235421968286713,0.6051086665204896,0.42846494865808665,0.8936966254399943,0.6476056337589806,0.15826983158561964,0.40516073472918573,0.2816561819699166
mordred_pca__rf,3,2,569531098,0.970560706128256,0.706472071927434,0.1261847569069673,0.3878623703844992,0.26123632452391177,0.8932354838002061,0.5586837133615482,0.11974584973416655,0.3434671434005059,0.24053745599327814,0.9850134673263057,0.6193131413659564,0.051746592588832574,0.24723238874595177,0.1649734380056668,0.6486348071927829,0.6865267279399003,0.35123844886994954,0.6493647067343552,0.4675701622760055,0.8743611161118877,0.6427489136487098,0.162228912024979,0.40698165231632805,0.2835793451997156
mordred_pca__rf,3,3,1337295874,0.9195518322153202,0.7124893159189475,0.1706559062265953,0.4079257276261273,0.2802090161750078,0.852463854098648,0.5292902404172505,0.15978085975732165,0.38915402500071705,0.27166641387603935,1.0059729127871784,0.584900354223691,0.02132641630222865,0.2488063844018543,0.16866419067624752,0.7739505114943652,0.7419124761428181,0.3061747259592694,0.5539075100507332,0.3911688251353745,0.887984777648878,0.6421480966756767,0.16448447706135375,0.39994841176985796,0.2779271114656673
mordred_pca__rf,3,4,612016888,0.9135521631419786,0.7245040916421064,0.10790384361668626,0.33828659508463266,0.23156336095468621,0.8712823407462771,0.5594074539832827,0.13045080253817726,0.36693808839441916,0.24945702252526747,0.9888503996399873,0.6328974563564302,0.09524654836680162,0.26914036078145714,0.18442226644499757,0.7496298113860872,0.7420842410679076,0.2838990865625546,0.5377721549231564,0.37706517056153965,0.8808286787285825,0.6647233107624317,0.15437507027105493,0.37803429979591635,0.2606269551216227
mordred_pca__rf,4,0,232150720,0.916102254882107,0.7480050692321397,0.1377086057550461,0.3826514100196177,0.26281879286573545,0.8223120275266986,0.6055372106577753,0.1771613459950941,0.4358426905006626,0.3026942544346048,1.013917448471565,0.6262938289669981,0.045403033626800156,0.19826714569052692,0.13331435188796284,0.7130473685030557,0.7151765556518754,0.3389605949560414,0.6104517217074252,0.4359732440431029,0.8663447748458566,0.6737531661271972,0.17480839508324542,0.4068032419795581,0.2837001608078515
mordred_pca__rf,4,1,2324106676,0.9337700497922801,0.742118726246212,0.1028285931021627,0.322422223672355,0.21840165953066162,0.8488830869247148,0.5343539858244721,0.1734029171602917,0.43843135678840484,0.3032698877118789,0.958856362513019,0.6035260360036345,0.1135333849209942,0.3219146187222786,0.223359790449632,0.7162722632828432,0.71568975644793,0.34859098374300324,0.630401278394828,0.4518429228858546,0.8644454406282144,0.6489221261305621,0.18458896973161296,0.42829236939446663,0.2992185651445068
mordred_pca__rf,4,2,1658700540,0.9408282867698633,0.7016329345924387,0.1140719395352084,0.357640019076308,0.2424840642738214,0.858784293763594,0.4553698604663996,0.1561513414420594,0.35960818604902733,0.24687384210222285,0.9953600510587262,0.6566658466066654,0.05196027882893908,0.2508519899266636,0.16924269538744527,0.7241817964829022,0.68495379353356,0.3330389313246953,0.5855645595262816,0.4142790543754808,0.8797886070187715,0.6246556087997659,0.16380562278272556,0.3884161886445701,0.2682199140347426
mordred_pca__rf,4,3,609942288,0.8988163695987968,0.6930540188944829,0.17560668211039074,0.42661525503024833,0.291533951938184,0.8292832215311318,0.5262935720866303,0.20657596770475511,0.45006276998964473,0.31104256759290044,0.9593712706788947,0.5651956349102015,0.10610572117491399,0.35895945349521674,0.2429925391263745,0.7971693527927087,0.7570333302549944,0.26281076720776547,0.513874921002544,0.36489686361961926,0.8711600536503831,0.6353941390365774,0.18777478454945634,0.4373780998794134,0.3026164805692696
mordred_pca__rf,4,4,3405943863,0.9695438781430248,0.682224071742193,0.11862548463829303,0.3338579446532997,0.22720511789907777,0.9311404570089712,0.5821348562940236,0.13184951835323935,0.3891552275878045,0.2676338252412305,1.0250056072892608,0.6678577832721871,-0.00252327733294167,0.19728914133889655,0.1323455846923517,0.7293611432339684,0.7320848639320926,0.3210559745946763,0.6030668757486535,0.4254925329339464,0.9137627714188064,0.666075393810124,0.14225192506331674,0.3808422973321635,0.26316926519165157
