repeat,fold,arm,seed,Endpoint,ST-RAE,MAE,R2,Spearman_R,Kendall_Tau
0,4,baseline,3644269654,CYP3A4_pIC50_direct_inhibition,0.6122705634100402,0.5864609053387918,0.550284531800672,0.7542833583957724,0.5624674494333753
0,4,baseline,3644269654,MA,0.8108006002620346,0.5933867432968751,0.2887472184236166,0.5535796426355071,0.3972928172734869
1,0,aid,1206282609,CYP1A2_pIC50_direct_inhibition,0.95843046123873,0.6688696630499966,0.2118673776574161,0.4976557274019449,0.3445325388433629
1,0,aid,1206282609,CYP2C9_pIC50_direct_inhibition,0.6489224703546828,0.4717095391698097,0.4160026219657293,0.6374211579970628,0.4585127770174226
1,0,aid,1206282609,CYP2D6_pIC50_direct_inhibition,0.8873420534241702,0.6282461458180691,0.2091356290774759,0.4552282467553403,0.3197958453951255
1,0,aid,1206282609,CYP3A4_pIC50_direct_inhibition,0.5555033137662826,0.5415669762319513,0.5873295262500273,0.7755307082526611,0.5802457090113177
1,0,aid,1206282609,MA,0.7625495746959664,0.5775980810674566,0.3560837887376621,0.5914589601017523,0.4257717175668072
1,0,baseline,1206282609,CYP1A2_pIC50_direct_inhibition,0.871486244161885,0.6248169699911146,0.241216230357387,0.5090743600872079,0.3574099160734021
1,0,baseline,1206282609,CYP2C9_pIC50_direct_inhibition,0.6828650866603483,0.4859044524729109,0.3412980752666832,0.6332043319129471,0.4587123894798802
1,0,baseline,1206282609,CYP2D6_pIC50_direct_inhibition,0.9476148357926176,0.664026349314782,0.1582428147227696,0.3910861938721448,0.2694768354593138
1,0,baseline,1206282609,CYP3A4_pIC50_direct_inhibition,0.5041213491308933,0.56020375447543,0.5454118232379559,0.7620573728334534,0.5698945778472738
1,0,baseline,1206282609,MA,0.7515218789364361,0.5837378815635594,0.3215422358961989,0.5738555646764384,0.4138734297149675
1,1,aid,3543069911,CYP1A2_pIC50_direct_inhibition,0.8197980331278102,0.6666005118632085,0.3181308483953893,0.606493606977717,0.433655975658815
1,1,aid,3543069911,CYP2C9_pIC50_direct_inhibition,0.6714103636815769,0.4671993238788587,0.4592907918140028,0.6361781879298524,0.456902827715511
1,1,aid,3543069911,CYP2D6_pIC50_direct_inhibition,0.9460145248975064,0.5743057976051233,0.1243679230641903,0.3787113419934663,0.2595023822177996
